Time,BAHADURABAD
2022-05-13 00:00:00+00:00,22.8
2022-05-14 00:00:00+00:00,22.87
2022-05-15 00:00:00+00:00,32.87
2022-05-16 00:00:00+00:00,57.62
2022-05-17 00:00:00+00:00,42.24
2022-05-18 00:00:00+00:00,53.21
2022-05-19 00:00:00+00:00,78.79
2022-05-20 00:00:00+00:00,132.44
2022-05-21 00:00:00+00:00,209.17
2022-05-22 00:00:00+00:00,218.29
2022-05-23 00:00:00+00:00,126.87
2022-05-24 00:00:00+00:00,49.96
2022-05-25 00:00:00+00:00,29.32
2022-05-26 00:00:00+00:00,27.23
2022-05-27 00:00:00+00:00,21.34
2022-05-28 00:00:00+00:00,20.15
2022-05-29 00:00:00+00:00,19.09
2022-05-30 00:00:00+00:00,32.66
2022-05-31 00:00:00+00:00,48.26
2022-06-01 00:00:00+00:00,118.09
2022-06-02 00:00:00+00:00,195.61
2022-06-03 00:00:00+00:00,184.24
2022-06-04 00:00:00+00:00,115.37
2022-06-05 00:00:00+00:00,46.58
2022-06-06 00:00:00+00:00,29.42
2022-06-07 00:00:00+00:00,25.82
2022-06-08 00:00:00+00:00,20.59
2022-06-09 00:00:00+00:00,20.08
2022-06-10 00:00:00+00:00,23.22
2022-06-11 00:00:00+00:00,25.57
2022-06-12 00:00:00+00:00,50.09
2022-06-13 00:00:00+00:00,101.2
2022-06-14 00:00:00+00:00,142.58
2022-06-15 00:00:00+00:00,141.27
2022-06-16 00:00:00+00:00,85.97
2022-06-17 00:00:00+00:00,36.4
2022-06-18 00:00:00+00:00,23.19
2022-06-19 00:00:00+00:00,21.83
2022-06-20 00:00:00+00:00,17.99
2022-06-21 00:00:00+00:00,17.78
2022-06-22 00:00:00+00:00,16.48
2022-06-23 00:00:00+00:00,18.0
2022-06-24 00:00:00+00:00,38.97
2022-06-25 00:00:00+00:00,101.72
2022-06-26 00:00:00+00:00,143.48
2022-06-27 00:00:00+00:00,134.86
2022-06-28 00:00:00+00:00,86.86
2022-06-29 00:00:00+00:00,34.88
2022-06-30 00:00:00+00:00,21.02
2022-07-01 00:00:00+00:00,21.5
2022-07-02 00:00:00+00:00,17.48
2022-07-03 00:00:00+00:00,16.49
2022-07-04 00:00:00+00:00,15.88
2022-07-05 00:00:00+00:00,38.18
2022-07-06 00:00:00+00:00,63.05
2022-07-07 00:00:00+00:00,94.34
2022-07-08 00:00:00+00:00,158.93
2022-07-09 00:00:00+00:00,183.3
2022-07-10 00:00:00+00:00,130.18
2022-07-11 00:00:00+00:00,48.41
2022-07-12 00:00:00+00:00,27.94
2022-07-13 00:00:00+00:00,24.04
2022-07-14 00:00:00+00:00,20.16
2022-07-15 00:00:00+00:00,20.3
2022-07-16 00:00:00+00:00,23.8
2022-07-17 00:00:00+00:00,49.49
2022-07-18 00:00:00+00:00,45.79
2022-07-19 00:00:00+00:00,48.25
2022-07-20 00:00:00+00:00,133.24
2022-07-21 00:00:00+00:00,152.23
2022-07-22 00:00:00+00:00,72.0
2022-07-23 00:00:00+00:00,36.82
2022-07-24 00:00:00+00:00,22.77
2022-07-25 00:00:00+00:00,22.47
2022-07-26 00:00:00+00:00,17.74
2022-07-27 00:00:00+00:00,15.99
2022-07-28 00:00:00+00:00,19.18
2022-07-29 00:00:00+00:00,27.84
2022-07-30 00:00:00+00:00,25.91
2022-07-31 00:00:00+00:00,64.05
2022-08-01 00:00:00+00:00,189.97
2022-08-02 00:00:00+00:00,208.65
2022-08-03 00:00:00+00:00,103.56
2022-08-04 00:00:00+00:00,39.73
2022-08-05 00:00:00+00:00,24.33
2022-08-06 00:00:00+00:00,21.97
2022-08-07 00:00:00+00:00,18.67
2022-08-08 00:00:00+00:00,25.19
2022-08-09 00:00:00+00:00,37.03
2022-08-10 00:00:00+00:00,37.74
2022-08-11 00:00:00+00:00,37.84
2022-08-12 00:00:00+00:00,82.43
2022-08-13 00:00:00+00:00,176.61
2022-08-14 00:00:00+00:00,216.85
2022-08-15 00:00:00+00:00,163.16
2022-08-16 00:00:00+00:00,56.19
2022-08-17 00:00:00+00:00,34.09
2022-08-18 00:00:00+00:00,26.59
2022-08-19 00:00:00+00:00,22.26
