Time,BAHADURABAD
2022-05-07 00:00:00+00:00,284.97150000000005
2022-05-08 00:00:00+00:00,342.39
2022-05-09 00:00:00+00:00,650.3639999999999
2022-05-10 00:00:00+00:00,253.05800000000005
2022-05-11 00:00:00+00:00,103.96000000000001
2022-05-12 00:00:00+00:00,0.0
2022-05-13 00:00:00+00:00,34.944
2022-05-14 00:00:00+00:00,2.184
2022-05-15 00:00:00+00:00,150.76
2022-05-16 00:00:00+00:00,79.84
2022-05-17 00:00:00+00:00,223.61999999999998
2022-05-18 00:00:00+00:00,341.28
2022-05-19 00:00:00+00:00,568.404
2022-05-20 00:00:00+00:00,458.53499999999997
2022-05-21 00:00:00+00:00,762.3824999999999
2022-05-22 00:00:00+00:00,413.71200000000005
2022-05-23 00:00:00+00:00,109.26
2022-05-24 00:00:00+00:00,0.0
2022-05-25 00:00:00+00:00,0.0
2022-05-26 00:00:00+00:00,0.0
2022-05-27 00:00:00+00:00,26.872
2022-05-28 00:00:00+00:00,66.74
2022-05-29 00:00:00+00:00,156.94
2022-05-30 00:00:00+00:00,361.5
2022-05-31 00:00:00+00:00,370.96650000000005
2022-06-01 00:00:00+00:00,545.715
2022-06-02 00:00:00+00:00,655.8255
2022-06-03 00:00:00+00:00,399.919
2022-06-04 00:00:00+00:00,184.20999999999998
2022-06-05 00:00:00+00:00,29.128000000000004
2022-06-06 00:00:00+00:00,18.656000000000002
2022-06-07 00:00:00+00:00,2.704
2022-06-08 00:00:00+00:00,0.0
2022-06-09 00:00:00+00:00,117.75
2022-06-10 00:00:00+00:00,140.82
2022-06-11 00:00:00+00:00,219.68400000000003
2022-06-12 00:00:00+00:00,496.51650000000006
2022-06-13 00:00:00+00:00,359.03999999999996
2022-06-14 00:00:00+00:00,528.7589999999999
2022-06-15 00:00:00+00:00,363.96100000000007
2022-06-16 00:00:00+00:00,10.0
2022-06-17 00:00:00+00:00,8.248000000000001
2022-06-18 00:00:00+00:00,6.6000000000000005
2022-06-19 00:00:00+00:00,0.072
2022-06-20 00:00:00+00:00,0.0
2022-06-21 00:00:00+00:00,97.92
2022-06-22 00:00:00+00:00,61.019999999999996
2022-06-23 00:00:00+00:00,343.23600000000005
2022-06-24 00:00:00+00:00,354.402
2022-06-25 00:00:00+00:00,480.555
2022-06-26 00:00:00+00:00,370.65599999999995
2022-06-27 00:00:00+00:00,384.8910000000001
2022-06-28 00:00:00+00:00,10.68
2022-06-29 00:00:00+00:00,24.384
2022-06-30 00:00:00+00:00,7.152
2022-07-01 00:00:00+00:00,0.0
2022-07-02 00:00:00+00:00,67.824
2022-07-03 00:00:00+00:00,41.31
2022-07-04 00:00:00+00:00,167.39000000000001
2022-07-05 00:00:00+00:00,419.73599999999993
2022-07-06 00:00:00+00:00,433.89
2022-07-07 00:00:00+00:00,394.515
2022-07-08 00:00:00+00:00,600.831
2022-07-09 00:00:00+00:00,558.688
2022-07-10 00:00:00+00:00,178.96
2022-07-11 00:00:00+00:00,8.496
2022-07-12 00:00:00+00:00,11.568
2022-07-13 00:00:00+00:00,0.0
2022-07-14 00:00:00+00:00,41.44
2022-07-15 00:00:00+00:00,85.03
2022-07-16 00:00:00+00:00,163.34
2022-07-17 00:00:00+00:00,398.73599999999993
2022-07-18 00:00:00+00:00,167.46750000000003
2022-07-19 00:00:00+00:00,252.40500000000003
