Time,BAHADURABAD
2022-05-02T00:00:00.000000+0000,37.135
2022-05-03T00:00:00.000000+0000,27.153
2022-05-04T00:00:00.000000+0000,27.904
2022-05-05T00:00:00.000000+0000,46.363
2022-05-06T00:00:00.000000+0000,71.830
2022-05-07T00:00:00.000000+0000,85.251
2022-05-08T00:00:00.000000+0000,100.006
2022-05-09T00:00:00.000000+0000,153.792
2022-05-10T00:00:00.000000+0000,137.495
2022-05-11T00:00:00.000000+0000,93.094
2022-05-12T00:00:00.000000+0000,57.934
2022-05-13T00:00:00.000000+0000,42.163
2022-05-14T00:00:00.000000+0000,31.273
2022-05-15T00:00:00.000000+0000,34.597
2022-05-16T00:00:00.000000+0000,25.125
2022-05-17T00:00:00.000000+0000,44.567
2022-05-18T00:00:00.000000+0000,76.957
2022-05-19T00:00:00.000000+0000,128.623
2022-05-20T00:00:00.000000+0000,148.416
2022-05-21T00:00:00.000000+0000,196.644
2022-05-22T00:00:00.000000+0000,186.885
2022-05-23T00:00:00.000000+0000,126.085
2022-05-24T00:00:00.000000+0000,74.767
2022-05-25T00:00:00.000000+0000,51.320
2022-05-26T00:00:00.000000+0000,37.622
2022-05-27T00:00:00.000000+0000,26.446
2022-05-28T00:00:00.000000+0000,19.203
2022-05-29T00:00:00.000000+0000,27.759
2022-05-30T00:00:00.000000+0000,59.277
2022-05-31T00:00:00.000000+0000,92.847
2022-06-01T00:00:00.000000+0000,133.477
2022-06-02T00:00:00.000000+0000,178.062
2022-06-03T00:00:00.000000+0000,169.695
2022-06-04T00:00:00.000000+0000,127.542
2022-06-05T00:00:00.000000+0000,79.980
2022-06-06T00:00:00.000000+0000,51.725
2022-06-07T00:00:00.000000+0000,38.622
2022-06-08T00:00:00.000000+0000,28.739
2022-06-09T00:00:00.000000+0000,25.942
2022-06-10T00:00:00.000000+0000,29.629
2022-06-11T00:00:00.000000+0000,43.713
2022-06-12T00:00:00.000000+0000,97.300
2022-06-13T00:00:00.000000+0000,115.585
2022-06-14T00:00:00.000000+0000,143.112
2022-06-15T00:00:00.000000+0000,143.728
2022-06-16T00:00:00.000000+0000,88.686
2022-06-17T00:00:00.000000+0000,53.097
2022-06-18T00:00:00.000000+0000,40.566
2022-06-19T00:00:00.000000+0000,30.208
2022-06-20T00:00:00.000000+0000,21.795
2022-06-21T00:00:00.000000+0000,16.970
2022-06-22T00:00:00.000000+0000,13.181
2022-06-23T00:00:00.000000+0000,51.467
2022-06-24T00:00:00.000000+0000,80.679
2022-06-25T00:00:00.000000+0000,117.636
2022-06-26T00:00:00.000000+0000,127.597
2022-06-27T00:00:00.000000+0000,131.605
2022-06-28T00:00:00.000000+0000,84.623
2022-06-29T00:00:00.000000+0000,50.769
2022-06-30T00:00:00.000000+0000,38.726
2022-07-01T00:00:00.000000+0000,29.564
2022-07-02T00:00:00.000000+0000,22.941
2022-07-03T00:00:00.000000+0000,16.893
2022-07-04T00:00:00.000000+0000,29.134
2022-07-05T00:00:00.000000+0000,70.053
2022-07-06T00:00:00.000000+0000,109.219
2022-07-07T00:00:00.000000+0000,123.114
2022-07-08T00:00:00.000000+0000,159.894
2022-07-09T00:00:00.000000+0000,181.929
2022-07-10T00:00:00.000000+0000,138.387
2022-07-11T00:00:00.000000+0000,80.732
2022-07-12T00:00:00.000000+0000,52.754
2022-07-13T00:00:00.000000+0000,39.693
2022-07-14T00:00:00.000000+0000,29.079
2022-07-15T00:00:00.000000+0000,23.943
2022-07-16T00:00:00.000000+0000,32.814
2022-07-17T00:00:00.000000+0000,71.169
2022-07-18T00:00:00.000000+0000,72.246
2022-07-19T00:00:00.000000+0000,75.448
2022-07-20T00:00:00.000000+0000,145.464
2022-07-21T00:00:00.000000+0000,138.335
2022-07-22T00:00:00.000000+0000,86.678
2022-07-23T00:00:00.000000+0000,54.382
2022-07-24T00:00:00.000000+0000,40.021
2022-07-25T00:00:00.000000+0000,30.717
2022-07-26T00:00:00.000000+0000,22.718
2022-07-27T00:00:00.000000+0000,16.310
2022-07-28T00:00:00.000000+0000,33.771
2022-07-29T00:00:00.000000+0000,45.824
2022-07-30T00:00:00.000000+0000,63.928
2022-07-31T00:00:00.000000+0000,89.810
2022-08-01T00:00:00.000000+0000,173.335
